School_Name_ZhT;School_Name;City;State;lat;lng;Univ_Py;Country;Country_ZhT;Notes
加州理工學院;California Institute of Technology;Pasadena;California;34.1597;-118.139;;United States;美國;
;California Institute of the Arts;Valencia;California;34.44361;-118.60953;;United States;美國;
;California Lutheran University;Thousand Oaks;California;34.1914;-118.8756;;United States;美國;
;California Otterbein University;Westerville;Ohio;40.1241;-82.921;;United States;美國;
;California Point Park University;Pittsburgh;Pennsylvania;40.4397;-79.9763;;United States;美國;
;California Polytechnic State University;San Luis Obispo;California;35.2669;-120.669;;United States;美國;
;California Polytechnic State University San Luis Obispo;San Luis Obispo;California;35.2669;-120.669;;United States;美國;
加州工藝大學;California Polytechnic University;Pomona;California;34.0585;-117.7626;;United States;美國;
;California State Polytechnic University;Pomona;California;34.0585;-117.7626;;United States;美國;
;California State Polytechnic University Pomona;Pomona;California;34.0585;-117.7626;;United States;美國;
;California State University;Long Beach;California;33.7977;-118.167;;United States;美國;
;California State University;Dominguez Hills;California;33.86085;-118.23424;;United States;美國;
;California State University;Fullerton;California;33.8841;-117.9279;;United States;美國;
;California State University;Los Angeles;California;34.1141;-118.4068;;United States;美國;
;California State University;San Bernardino;California;34.1416;-117.2943;;United States;美國;
;California State University;Northridge;California;34.22834;-118.53675;;United States;美國;
;California State University;Bakersfield;California;35.3529;-119.0359;;United States;美國;
;California State University;Fresno;California;36.783;-119.7939;;United States;美國;
;California State University;Monterey Bay;California;36.79996;-121.90107;;United States;美國;
;California State University;Stanislaus;California;38.13825;-120.3702;;United States;美國;
;California State University;Sacramento;California;38.5677;-121.4685;;United States;美國;
;California State University;Chico;California;39.7578;-121.8161;;United States;美國;
;California State University Channel Islands;Camarillo;California;34.223;-119.0321;;United States;美國;
;California State University Chico;Carson;California;33.8374;-118.2559;;United States;美國;
;California State University Dominguez Hills;Hayward;California;37.6328;-122.0766;;United States;美國;
;California State University East Bay;Hayward;California;37.6328;-122.0766;;United States;美國;
;California State University Maritime Academy;Seaside;California;36.6224;-121.8199;;United States;美國;
;California State University San Marcos;San Marcos;Texas;29.8734;-97.9356;;United States;美國;
;California State University Stanislaus;Turlock;California;37.5053;-120.8588;;United States;美國;
;California University of Pennsylvania;California;Pennsylvania;40.0692;-79.9152;;United States;美國;
;California Western School of Law;San Diego;California;32.8313;-117.1222;;United States;美國;
;California Western School of Law - San Diego;San Diego;California;32.8313;-117.1222;;United States;美國;
;Calumet College of St. Joseph;Whiting;Indiana;41.6731;-87.4842;;United States;美國;
;Calvary University;Kansas City;Missouri;39.1238;-94.5541;;United States;美國;
;Calvin University;Grand Rapids;Michigan;42.9619;-85.6562;;United States;美國;
;Cambridge College;Boston;Massachusetts;42.3188;-71.0852;;United States;美國;
;Cambridge College;Cambridge;Massachusetts;42.3759;-71.1185;;United States;美國;
;Cameron University;Lawton;Oklahoma;34.6175;-98.4202;;United States;美國;
;Campbell University;Buies Creek;North Carolina;35.4082;-78.7414;;United States;美國;
;Campbellsville University;Campbellsville;Kentucky;37.3434;-85.34191;;United States;美國;
;Campbellsville University;Campbellsville;Kentucky;-85.3495670423293;37.3437164479338;;United States;美國;
;Canisius College;Buffalo;New York;42.9018;-78.8487;;United States;美國;
;Capital University;Columbus;Ohio;39.9862;-82.9855;;United States;美國;
;Capitol Technology University;Laurel;Maryland;39.0949;-76.8622;;United States;美國;
;Cardinal Stritch University;Milwaukee;Wisconsin;43.0642;-87.9675;;United States;美國;
卡爾頓學院;Carleton College;Northfield;Minnesota;44.455;-93.1698;;United States;美國;
;Carlow University;Pittsburgh;Pennsylvania;40.4397;-79.9763;;United States;美國;
加基鋼鐵學院;Carnegie Institute of Technology;Pittsburgh;Pennsylvania;40.4397;-79.9763;;United States;美國;
匹茲堡卡內基理工學院;Carnegie Institute of Technology;Pittsburgh;Pennsylvania;40.4397;-79.9763;;United States;美國;
匹茲堡卡內理工學院;Carnegie Institute of Technology;Pittsburgh;Pennsylvania;40.4397;-79.9763;;United States;美國;
卡乃基理工學院;Carnegie Institute of Technology;Pittsburgh;Pennsylvania;40.4397;-79.9763;;United States;美國;
卡內基理工學院;Carnegie Institute of Technology;Pittsburgh;Pennsylvania;40.4397;-79.9763;;United States;美國;
卡內基梅隆大學;Carnegie Mellon University;Pittsburgh;Pennsylvania;40.4397;-79.9763;;United States;美國;
伊利諾大學卡內基工學院;Carnegie School of Engineering;Pittsburgh;Pennsylvania;40.4397;-79.9763;;United States;美國;
卡內基大學;Carnegie University;Pittsburgh;Pennsylvania;40.4397;-79.9763;;United States;美國;
匹茲堡卡內基大學;Carnegie University of Pittsburgh;Pittsburgh;Pennsylvania;40.4397;-79.9763;;United States;美國;
;Carolina University;Winston Salem;North Carolina;36.1029;-80.261;;United States;美國;
;Carroll College;Helena;Montana;46.5965;-112.0202;;United States;美國;
卡羅爾學院;Carroll University;Waukesha;Wisconsin;43.0087;-88.2464;;United States;美國;
;Carson-Newman University;Jefferson City;Tennessee;-83.4905833423293;36.1226741025944;;United States;美國;
;Carthage College;Kenosha;Wisconsin;42.5865;-87.8773;;United States;美國;
凱斯理工學院;Case Institute of Technology;Cleveland;Ohio;41.4764;-81.6805;;United States;美國;Case Institute of Technology (1947–1967) -  Case Western Reserve University (1967-present)
西余大學;Case Western Reserve University;Cleveland;Ohio;41.4764;-81.6805;;United States;美國;
西方保留地大學;Case Western Reserve University;Cleveland;Ohio;41.4764;-81.6805;;United States;美國;
西余大學醫學院;Case Western Reserve University Medical School;Cleveland;Ohio;41.4764;-81.6805;;United States;美國;
;Castleton University;Castleton;Vermont;-73.1800156116464;43.6074729113942;;United States;美國;
;Catawba College;Salisbury;North Carolina;35.6658;-80.4905;;United States;美國;
開索利克大學;Catholic University of America;"	Washington D.C.";District of Columbia;38.9047;-77.0163;;United States;美國;
天主教大學;Catholic University of America;Washington;District of Columbia;38.9047;-77.0163;;United States;美國;
美國天主教大學;Catholic University of America;Washington;District of Columbia;38.9047;-77.0163;;United States;美國;
;Cazenovia College;Cazenovia;New York;42.93007;-75.85269;;United States;美國;
;Cedar Crest College;Allentown;Pennsylvania;40.5961;-75.4756;;United States;美國;
